customer_message,gold_intent,predicted_intent,confidence,expected_decision,predicted_decision,reason
"@AmazonHelp At this point, I need to go to the mall &amp; purchase the gifts I tried to order 2x. Your company has already refunded my prime since they haven't figured out what to do. I'm sorry but I've raised this issue with you already. Check my previous post. And I'm not the only customer.",delivery_issue,order_issue,0.19523527,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
"@AmazonHelp No one was conciliatory, no one apologized for the blatant lying (which is recorded in chat transcripts), and I won't get my package on time. This isn't the first time. @115821 doesn't care about delivery in rural areas. Prime or not.",delivery_issue,delivery_issue,0.31050995,AUTO-HANDLE,ESCALATE,Issue appears unresolved or repeated.
@AmazonHelp Ainda indecisaaaa! Tantas opções! ♡,other,other,0.2667071,ESCALATE,AUTO-HANDLE,Routine issue with no strong escalation signal.
"@AmazonHelp 1. Does it work without being plugged in to power? 
2. If yes, what is battery life? 
3. Can it be used for receiving and making calls?",product_device_issue,product_device_issue,0.26120707,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@AmazonHelp It’s not letting me copy the link,other,other,0.21577285,ESCALATE,ESCALATE,Low intent-classification confidence.
@AmazonHelp it’s working now! thanks though!,other,other,0.2527757,ESCALATE,AUTO-HANDLE,Routine issue with no strong escalation signal.
"@115850 I have stopped ordering from your site, Amazon courier guys are very rude. I have given similar complaints to u no of tyms.",delivery_issue,order_issue,0.20572396,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
E comunque da quando @120540 usa il suo corriere non si riesce più ad avere un pacco in 24 ore ...sempre problemi e mail di scuse per il ritardo,delivery_issue,account_issue,0.23627573,AUTO-HANDLE,ESCALATE,Account-related issue requires human verification.
"@AmazonHelp I can't possibly reply to the rubbish below! I have checked the details and and see this issue is already escalated and the team is investigating on this.

Please allow us 2-3 business days to get back to you.

Please be assured the issue will be resolved.",other,refund_return,0.23797818,ESCALATE,ESCALATE,Low intent-classification confidence.
@115850 @AmazonHelp Dear Cheats will you care to update about the below order status.. Your Amazon.in Order # 403-0745487-1392338.. I am getting no response from your end and I have already made payment from my end.. Stuck .. Not done..,order_issue,refund_return,0.24184053,AUTO-HANDLE,ESCALATE,Issue appears unresolved or repeated.
What the Hell is this @115850 ??? This is how u cheat with us ?? https://t.co/iKlVGadV6A,other,delivery_issue,0.1788456,ESCALATE,ESCALATE,Low intent-classification confidence.
"@AmazonHelp não funciona! já tentei cancelar e não consigo. a página diz que cancelou, mas a compra continua lá!!!!",cancellation_issue,cancellation_issue,0.27924833,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@115850 Promotional cash back not credited even after refund date been crossed https://t.co/YxIGHWvVmb order# 404-4707947-1460330☹️😡,refund_return,refund_return,0.33575094,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
"@AmazonHelp Yes i do!!
And they said that they will contact me in 12hours after my query but they don't!!",other,other,0.21989082,ESCALATE,ESCALATE,Customer explicitly requested human support.
@AmazonHelp https://t.co/u2pSfScoie,other,other,0.35606724,ESCALATE,AUTO-HANDLE,Routine issue with no strong escalation signal.
"@AmazonHelp My apologies, it says now that the delivery date is October 31st. Still hasn't come though.",delivery_issue,delivery_issue,0.26500812,AUTO-HANDLE,ESCALATE,Issue appears unresolved or repeated.
@AmazonHelp  I reported 5 times,other,other,0.27716947,ESCALATE,AUTO-HANDLE,Routine issue with no strong escalation signal.
Very bad customer service in India. Nobody picks up customer service phone no. Does warranty even matter to them? Amazon pls stop selling their products. @115850  @7025 @134258 @7026,other,product_device_issue,0.15230253,ESCALATE,ESCALATE,Low intent-classification confidence.
@AmazonHelp Thanks for the quick response!,other,other,0.3086658,ESCALATE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@AmazonHelp Taking customer for ride ! I need a original product not refund!,order_issue,refund_return,0.25420988,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
"@AmazonHelp Tudo correto. Endereço normal, onde resido e já recebi diversas entregas da Amazon, sem problemas. CEP correto no cadastro.",other,prime_issue,0.18102556,ESCALATE,ESCALATE,Low intent-classification confidence.
"@AmazonHelp Es el 28 de noviembre, sin embargo ayer y hoy he recibido e-mails primero diciendo que mi pedido está en tránsito a la dirección de entrega y posteriormente, diciendo que no se realizó la entrega porque no había nadie en casa",delivery_issue,delivery_issue,0.24034388,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
"@AmazonHelp ok, je m'excuse mais je me retrouve avec les mêmes options : commandé à un tiers contacter le vendeur ... on tourne en rond",order_issue,cancellation_issue,0.16442183,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
@AmazonHelp Directo con Amazon,other,other,0.2326129,ESCALATE,ESCALATE,Low intent-classification confidence.
@AmazonHelp Don’t think your customer service is capable to be honest.,other,other,0.30556142,ESCALATE,AUTO-HANDLE,Routine issue with no strong escalation signal.
"@115830 ""attempted to deliver your package but couldn't leave it unattended.""
I'm in the building, so are a dozen people, and I can tell you nobody rang...",delivery_issue,delivery_issue,0.41328305,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@AmazonHelp Thats why i writing here that rest of the people shd know about your services and how you r making fool on name of prime,prime_issue,prime_issue,0.2681263,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
Thanks to @115821 I will get a 0 for participation in class today for not having my book that yall promised would be here yesterday by 8pm.😒,delivery_issue,delivery_issue,0.23973863,AUTO-HANDLE,ESCALATE,Issue appears unresolved or repeated.
"@AmazonHelp Würde das funktionieren, wenn ich mein Konto auflade? Da gibts ja diese Funktion in der App. Dann müsste ich nicht los und einen holen. 😅",payment_issue,product_device_issue,0.20368788,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
"@AmazonHelp Thanks, do you have a live chat option where I can discuss what I can do next?",other,other,0.30581197,ESCALATE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@AmazonHelp Haven't received anything!,other,other,0.24481736,ESCALATE,ESCALATE,Low intent-classification confidence.
@AmazonHelp I've had two emails to say ita out for delivery (one today one yesterday) and when I click on track parcel it says it was handed to the customer.I have no idea who the courier is to sort this out,delivery_issue,delivery_issue,0.32817286,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@AmazonHelp @115850 @115821 I contacted your customer service center and even selected return option. But service boy refused to take back product this is fruad .I want to share such fruad info with people to aware of your such fruad work,refund_return,refund_return,0.30791765,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
"@79389 purchased these from @115830 and they don't come charged as advertised neither do the charge fully, only to 95%, shocking item https://t.co/zEpNnZg5Sk",product_device_issue,payment_issue,0.31497538,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@AmazonHelp It was supposed to arrive yesterday and now it's changed to by the 6th. Bit confused with the fact there is partial tracking information.,delivery_issue,delivery_issue,0.18711819,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
@AmazonHelp I submitted all the details. Thank you for reply. Expecting a quick response over my refund. Hope @115850 deliver Customer satisfaction.,refund_return,refund_return,0.32657868,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@AmazonHelp Yes I have tried calling to them on 180030009009 number and application. Both ways but not able to talk as they cut my phone before connecting,other,product_device_issue,0.23209627,ESCALATE,ESCALATE,Low intent-classification confidence.
@AmazonHelp Already reported. Please re-ship my order. I'll not place a fresh order.,delivery_issue,order_issue,0.24786493,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
Hi @116618 when can I be able to watch #TheGrandTour on our my AppleTV? Decembre 2nd for the new season?,other,product_device_issue,0.44683874,ESCALATE,AUTO-HANDLE,Routine issue with no strong escalation signal.
Furious with @115830 carrier: package containing 3 orders claims to have been delivered but I don't have it &amp; I have checked everywhere and checked with my neighbours. I want to find it as weather is not good.,delivery_issue,delivery_issue,0.322079,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
"@AmazonHelp Bonjour, mon problème n'a toujours pas été réglé après remplissage du formulaire",other,cancellation_issue,0.14007221,ESCALATE,ESCALATE,Low intent-classification confidence.
@119356 @AmazonHelp @1560 I have purchased a keybrd &amp;mouse mrp shows 787 bt bill amt 799 from amazon .. https://t.co/LA3QOEQZo0,payment_issue,payment_issue,0.20424843,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
"@AmazonHelp With @115850 Wonders will never cease! Now, with respect to my 'DELIVERED' item, i have received the following sms: ...1/n",delivery_issue,delivery_issue,0.20344765,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
@AmazonHelp 30 days since i raised an issue but no one contacted yet from amazon. @115851 @amazonhelp #unhappy #poorservice #amazon #retail,other,refund_return,0.2513498,ESCALATE,AUTO-HANDLE,Routine issue with no strong escalation signal.
"@AmazonHelp Oui il est trop mignon xD il s'amuse comme un fou olala, j'aurais intérêt à ranger le tunnel la nuit si je veux pas qu'il m'empêche de dormir !",other,account_issue,0.17036231,ESCALATE,ESCALATE,Account-related issue requires human verification.
With regards to order ending with 5905 where it shows @115850 is purchasing products 4m portals like ebay &amp; selling over their portal https://t.co/yPHufZg7Jy,other,payment_issue,0.17761551,ESCALATE,ESCALATE,Low intent-classification confidence.
"@AmazonHelp Nice! 1st email was sent to my registered id and then other ones in app, fooling around here n there...slow claps",other,other,0.26770908,ESCALATE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@AmazonHelp I already chatted with help and am still not convinced i'll get the right item because clearly the warehouse workers can't read.,order_issue,other,0.22046234,AUTO-HANDLE,ESCALATE,Issue appears unresolved or repeated.
"Apparently @116316 knows more about I want than myself. After cancelling my Prime membership some time ago, they just decided to renew it and charge me for it. Great job! (Not!)",prime_issue,prime_issue,0.3660447,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
"@AmazonHelp 
Case id 4063530272
nirmalequipment __email__",other,other,0.22149824,ESCALATE,ESCALATE,Low intent-classification confidence.
@AmazonHelp we order an electronic item and it was supposedly delivered yesterday - left outside in rain - no email to say it was delivered,delivery_issue,delivery_issue,0.32209548,AUTO-HANDLE,ESCALATE,Potentially serious delivery or product issue.
"@115850 Hi, prime was available for 599/- per year few days back. Can you remind me when it will be back?",prime_issue,prime_issue,0.4820776,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
Is @115828 not carrying the PS4 version of LA Noire? I can't find it.,order_issue,product_device_issue,0.22029048,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
@AmazonHelp @119704  https://t.co/rUjHdeMm9G,other,other,0.3723415,ESCALATE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@AmazonHelp E obrigado pela rápida resposta :),other,other,0.22244787,ESCALATE,ESCALATE,Low intent-classification confidence.
"@AmazonHelp J'ai voulu annuler ma commande, mais Amazon dit que c'est soit disant trop tard... Vraiment barbant chez Amazon ! Que des problèmes!",cancellation_issue,cancellation_issue,0.15687208,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
@AmazonHelp C’est envoyé !,other,other,0.28044882,ESCALATE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@115821 again acted as disappoiment and spoiler. This is 2nd time when delivery of order was confirmed on call and then it was canceled,cancellation_issue,delivery_issue,0.201531,AUTO-HANDLE,ESCALATE,Issue appears unresolved or repeated.
3 out of 4 of my @115821 orders have not actually had two day shipping. Feeling ripped off.,prime_issue,delivery_issue,0.28760496,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@120474  what a waste of preorder money if the gig I want to get to dosent work on your website. Nice one Amazon https://t.co/QLzPSqh44S,order_issue,product_device_issue,0.17982204,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
@AmazonHelp If I don’t get it today can I get a refund on my one day shipping,refund_return,refund_return,0.29557106,AUTO-HANDLE,AUTO-HANDLE,Routine issue with no strong escalation signal.
@AmazonHelp Hoooorrrayyy! Not showing up on website yet as an option though?,other,other,0.22685745,ESCALATE,ESCALATE,Low intent-classification confidence.
".@124285 at it's best.

@116316 Lieferung sollte heute Zugestellt werden, ist aber immernoch im Startpaketzentrum und ich häng gleich wieder seit 30 Minuten in der Warteschleife. 

Amazon, verschickt einfach mit @122924, dann kommt es wenigstens gar nicht an...",delivery_issue,order_issue,0.16780484,AUTO-HANDLE,ESCALATE,Low intent-classification confidence.
@AmazonHelp Espérons qu’il soit dans un bon jour et qu’il ne passe pas un #blackfriday ( vanne Nul mais assumé lol ) 😂,other,cancellation_issue,0.18546458,ESCALATE,ESCALATE,Low intent-classification confidence.
Wieso kann man @6587 Freitag-Spiele nicht zeitversetzt schauen? (Frage aufgrund negativer Erfahrung nach #VfBBVB und in Anbetracht #H96VfBِ) #eurosportplayer @116316 @6588. Da lobe ich mir @6589.,other,account_issue,0.22263975,ESCALATE,ESCALATE,Account-related issue requires human verification.
"@AmazonHelp That's annoying. Your idiot driver unloaded 20+ packages to my business, but mine was left in his personal vehicle.",delivery_issue,delivery_issue,0.23794542,AUTO-HANDLE,ESCALATE,Strong customer dissatisfaction requires human handling.
